LION.ID,State,County,City,Organization,Website,Type,LION OutletsCounty
104,FL,Polk County,Lakeland,LKLD Now,lkldnow.com,Online News Organization,Polk
105,FL,Orange County,Apopka,Apopka Voice,theapopkavoice.com,Online News Organization,Orange
106,FL,Broward County,Fort Lauderdale,Florida Bulldog,browardbulldog.org,Online News Organization,Broward
107,FL,Orange County,Orlando,Bungalower,bungalower.com,Online News Organization,Orange
108,FL,Miami-Dade County,Miami,The New Tropic,thenewtropic.com,Online News Organization,Miami-Dade
109,FL,Brevard County,Melbourne,Space Coast Daily,spacecoastdaily.com,Online News Organization,Brevard
110,FL,Pinellas County,Saint Petersburg,Florida Center for Investigative Reporting,fcir.org,Online News Organization,Pinellas
111,FL,Miami-Dade County,Coconut Grove,Coconut Grove Grapevine,coconutgrovegrapevine.com,Online News Organization,Miami-Dade
112,FL,Pinellas County,Saint Petersburg,Saint Peters Blog,http://saintpetersblog.com,Online News Organization,Pinellas
113,GA,DeKalb County,Atlanta,Georgia Health News,georgiahealthnews.com,Online News Organization,DeKalb
114,GA,DeKalb County,Decatur,Decaturish,decaturish.com,Online News Organization,DeKalb
115,GA,DeKalb County,Atlanta,Georgia News Lab,georgianewslab.org,Online News Organization,DeKalb
116,GA,Cobb County,Smyrna,Cobb County Courier,riveredges.com,Online News Organization,Cobb
117,GA,DeKalb County,Atlanta,Project Q Atlanta,projectq.us,Online News Organization,DeKalb
118,GA,DeKalb County,Decatur,Decatur Metro,decaturmetro.com,Online News Organization,DeKalb
119,GA,Walton County,Monroe,Monroe Local,monroelocal.org,Online News Organization,Walton
120,GA,Cobb County,Marietta,East Cobb News,eastcobbnews.com,Online News Organization,Cobb
121,GA,Habersham County,Clarkesville,Now Habersham,nowhabersham.com,Online News Organization,Habersham
122,Georgia/SC,County,Central Savannah River Area,CSRA Kids,https://csrakids.com/,Online News Organization,
123,HI,Honolulu County,Honolulu,Honolulu Civil Beat,civilbeat.org,Online News Organization,Honolulu
124,IA,Mahaska County,Oskaloosa,Oscaloosa News,oskynews.org,Online News Organization,Mahaska
