state,newspaper_id,newspaper_name,frequency,city,county,owner_id,owner_name,owner_type,total_circulation
AR,20870,White River Current,W,Calico Rock,Izard,2480,Francis Charles and Fischer Rich,Private,1575
AR,20867,White Hall Journal,W,White Hall,Jefferson,2464,New Media/GateHouse,Investment,1800
AR,20691,Eagle Democrat The,W,Warren,Bradley,1863,Cook Danny,Private,3600
AR,20650,Villager Journal,W,Cherokee Village,Fulton,4797,Rust Communications,Private,2375
AR,20619,Van Buren County Democrat,W,Clinton,Van Buren,2464,New Media/GateHouse,Investment,3477
AR,20546,Poinsett County Democrat Tribune,W,Trumann,Poinsett,4797,Rust Communications,Private,2500
AR,20349,Weekly Vista,W,Bella Vista,Benton,5735,Wehco Media,Private,5000
AR,20206,Town Crier,W,Manila,Mississippi,4797,Rust Communications,Private,2959
AR,20185,Times Dispatch The,W,Walnut Ridge,Lawrence,1364,Bland John,Private,4800
AR,20090,Spectator,W,Ozark,Franklin,1318,Bevil Bob,Private,5800
AR,19793,Osceola Times,W,Osceola,Mississippi,4797,Rust Communications,Private,12000
AR,19736,Newton County Times,W,Jasper,Newton,1836,Community Publishers Inc,Private,1972
AR,19694,News,W,Fulton,Hempstead,4797,Rust Communications,Private,4895
AR,19672,Nashville News-Leader,W,Nashville,Howard,2668,Graves Publishing Company,Private,0
AR,19657,Mountaineer Echo,W,Flippin,Marion,3142,Jade Media Inc,Private,2360
AR,19617,Modern News,W,Harrisburg,Poinsett,4151,Nix Charles,Private,1895
AR,19236,Gurdon Times The,W,Arkadelphia,Clark,2464,New Media/GateHouse,Investment,1200
AR,18955,Courier Index,W,Marianna,Lee,6055,Argent Arkansas News Media,Private,2513
AR,18879,Citizen,W,Waldron,Scott,3424,Lancaster Management,Private,1875
AR,18549,Sun-Times The,W,Heber Springs,Cleburne,2464,New Media/GateHouse,Investment,5827
AR,18486,Stone County Leader,W,Mountain View,Stone,2489,"Fraser, James",Private,42849
AR,18250,Sherwood Voice,W,North Little Rock,Pulaski,2464,New Media/GateHouse,Investment,1979
AR,18248,Sheridan Headlight,W,Sheridan,Grant,3998,Morehouse Melody,Private,4050
AR,17922,Press Argus-Courier,W,Van Buren,Crawford,2464,New Media/GateHouse,Investment,5580
AR,17868,Pocahontas Star Herald,W,Pocahontas,Randolph,6056,Corning Publishing,Private,4500
AR,17796,Perry County Petit Jean Country Headlight,W,Morrilton,Perry,2881,Headlight Newspapers Inc.,Private,1900
AR,17738,Paris Express,W,Paris,Logan,2464,New Media/GateHouse,Investment,3600
AR,17436,Nevada County Picayune,W,Hope,Nevada,2464,New Media/GateHouse,Investment,2200
