,organization,city,county,state,lat_long,latitude,longitude
4040,Goldsboro News-Argus,Goldsboro,Wayne,NC,"[35.3848841, -77.9927651]",35.3848841,-77.9927651
4041,The Gaston Gazette,Gastonia,Gaston,NC,"[35.262082, -81.18730049999999]",35.262082,-81.18730049999999
4042,Fayetteville Observer,Fayetteville,Cumberland,NC,"[35.0526641, -78.87835849999999]",35.0526641,-78.87835849999999
4043,Herald-Sun,Durham,Durham,NC,"[35.9940329, -78.898619]",35.9940329,-78.898619
4044,Daily Record,Dunn,Harnett,NC,"[35.3062743, -78.6089028]",35.3062743,-78.6089028
4045,The Eden News,Reidsville,Rockingham,NC,"[36.3548586, -79.6644747]",36.3548586,-79.6644747
4046,Daily Herald,Roanoke Rapids,Halifax,NC,"[36.4615395, -77.6541464]",36.4615395,-77.6541464
4047,Daily Dispatch,Henderson,Vance,NC,"[36.0395247, -114.9817213]",36.0395247,-114.9817213
4048,Daily Advance,Elizabeth City,Pasquotank,NC,"[36.2946008, -76.2510461]",36.2946008,-76.2510461
4049,Charlotte Observer,Charlotte,Mecklenburg,NC,"[35.2270869, -80.8431267]",35.2270869,-80.8431267
4050,Asheville Citizen-Times,Asheville,Buncombe,NC,"[35.5950581, -82.5514869]",35.5950581,-82.5514869
4051,Courier-Tribune,Asheboro,Randolph,NC,"[35.7079146, -79.8136446]",35.7079146,-79.8136446
4052,Central McLean News-Journal,Turtle Lake,McLean,ND,"[45.3944027, -92.1424066]",45.3944027,-92.1424066
4053,MHA Times,New Town,McKenzie,ND,"[47.9808483, -102.4901804]",47.9808483,-102.4901804
4054,Tri-County News,Gackle,Logan,ND,"[46.6258113, -99.1420541]",46.6258113,-99.1420541
4055,Walhalla Mountaineer,Walhalla,Pembina,ND,"[34.7648176, -83.06404169999999]",34.7648176,-83.06404169999999
4056,Tioga Tribune,Tioga,Williams,ND,"[33.4667784, -96.918336]",33.4667784,-96.918336
4057,Lake Metigoshe Mirror,Rolla,Bottineau,ND,"[37.948544, -91.7715303]",37.948544,-91.7715303
4058,Litchville Bulletin,Litchville,Barnes,ND,"[46.6535903, -98.19426159999999]",46.6535903,-98.19426159999999
4059,Foster County Independent,Carrington,Foster,ND,"[47.44972010000001, -99.1262234]",47.44972010000001,-99.1262234
4060,La Moure Chronicle,LaMoure,LaMoure,ND,"[46.3571915, -98.2945434]",46.3571915,-98.2945434
4061,Ransom County Gazette,Lisbon,Ransom,ND,"[38.7222524, -9.1393366]",38.7222524,-9.1393366
4062,McClusky Gazette,McClusky,Sheridan,ND,"[47.4858309, -100.4431838]",47.4858309,-100.4431838
4063,Velva Area Voice,Velva,McHenry,ND,"[48.0561196, -100.929317]",48.0561196,-100.929317
4064,Valley News & Views,Drayton,Pembina,ND,"[48.57109579999999, -97.1778485]",48.57109579999999,-97.1778485
4065,Turtle Mountain Times,Belcourt,Rolette,ND,"[41.2373668, -96.1024468]",41.2373668,-96.1024468
4066,Turtle Mountain Star,Rolla,Rolette,ND,"[37.948544, -91.7715303]",37.948544,-91.7715303
4067,Traill County Tribune,Mayville,Traill,ND,"[43.4941611, -88.5448237]",43.4941611,-88.5448237
4068,Towner County Record Herald,Cando,Towner,ND,"[48.4866681, -99.20985929999999]",48.4866681,-99.20985929999999
4069,Wishek Star The,Wishek,McIntosh,ND,"[46.2569184, -99.55705669999999]",46.2569184,-99.55705669999999
4070,Walsh County Record,Grafton,Walsh,ND,"[43.3197265, -87.9534226]",43.3197265,-87.9534226
4071,Walsh County Press,Park River,Walsh,ND,"[48.3986043, -97.7411999]",48.3986043,-97.7411999
4072,Sargent County Teller The,Milnor,Sargent,ND,"[29.9760023, -90.2392581]",29.9760023,-90.2392581
4073,Steele Ozone and Kidder County Press,Steele,Kidder,ND,"[36.750671, -95.938194]",36.750671,-95.938194
4074,Oakes Times,Oakes,Dickey,ND,"[36.9890207, -122.0641399]",36.9890207,-122.0641399
4075,Mouse River Journal,Towner,McHenry,ND,"[48.3458325, -100.4054123]",48.3458325,-100.4054123
4076,McKenzie County Farmer,Watford City,McKenzie,ND,"[47.8022412, -103.2832467]",47.8022412,-103.2832467
4077,Kenmare News,Kenmare,Ward,ND,"[51.8801017, -9.5835203]",51.8801017,-9.5835203
4078,Herald-Press,Harvey,Wells,ND,"[37.09024, -95.712891]",37.09024,-95.712891
4079,Hazen Star,Hazen,Mercer,ND,"[47.294448, -101.622665]",47.294448,-101.622665
4080,Grant County News,Elgin,Grant,ND,"[42.0354084, -88.2825668]",42.0354084,-88.2825668
4081,Golden Valley News,Beach,Golden Valley,ND,"[37.09024, -95.712891]",37.09024,-95.712891
4082,Gleaner The,Northwood,Grand Forks,ND,"[43.6301146, -84.2744061]",43.6301146,-84.2744061
4083,Cavalier Chronicle,Cavalier,Pembina,ND,"[37.7833359, -122.4069933]",37.7833359,-122.4069933
4084,Bottineau Courant,Bottineau,Bottineau,ND,"[48.8272301, -100.4456984]",48.8272301,-100.4456984
4085,Ashley Tribune,Ashley,McIntosh,ND,"[37.09024, -95.712891]",37.09024,-95.712891
4086,Steele County Press,Finley,Steele,ND,"[36.1327267, -95.957112]",36.1327267,-95.957112
4087,Westhope Standard,Westhope,Bottineau,ND,"[48.9094642, -101.0207117]",48.9094642,-101.0207117
4088,Renville County Farmer,Mohall,Renville,ND,"[48.7633556, -101.5132169]",48.7633556,-101.5132169
4089,Pierce County Tribune,Rugby,Pierce,ND,"[48.3688876, -99.9962463]",48.3688876,-99.9962463
4090,Pembina New Era,Fordville,Pembina,ND,"[48.2174934, -97.79064509999999]",48.2174934,-97.79064509999999
4091,News-Monitor,Hankinson,Richland,ND,"[46.069681, -96.9017475]",46.069681,-96.9017475
4092,New Town News,New Town,Mountrail,ND,"[47.9808483, -102.4901804]",47.9808483,-102.4901804
4093,New Salem Journal,New Salem,Morton,ND,"[37.3105804, -96.8953116]",37.3105804,-96.8953116
4094,New Rockford Transcript,New Rockford,Eddy,ND,"[47.6799985, -99.1378952]",47.6799985,-99.1378952
4095,Nelson County Arena,Fordville,Nelson,ND,"[48.2174934, -97.79064509999999]",48.2174934,-97.79064509999999
